 Question,Answer,Context,Intent,Entities,Difficulty,Volatility Level,Comments
I am a Network and Information Security student and I do not see my name on cisco sheet. Should I apply to another project?,You are approved. There was just a little delay in posting your name,Project Applications,Project Approvals,Live Approvals,2,3,
How PMs will be chosen for the Cisco project?,There will be an interview process,Approval Process,Role Inquiry,Interview,1,1,
"Also, what is the difference between Industry-standard PMs, and Cisco PMs?",Same responsibilities different types of projects,Project Applications,Role Inquiry,Class Slides,1,1,
"If I have chosen on application to be a PM, do we still have a choice to switch to a team member?",We will simply dissaprove it which makes you automatically a team member,Approval Process,Role Inquiry,professor,1,1,
Is there a link to join webex?,It’s not webex. It’s canvas+discord,Meeting Logistics,Webex Inquiry,,1,2,
is there any way for me to register for more than one RWC coaching program?,No,Project Applications,Project Approvals,,1,1,
"For Jan 27th Students startup projects, what is the format going to be exactly? I recall that there would be breakout sessions but will founders have some time in beginning to share screens to everyone and present their idea?",All founders will receive am email with full instructions as mentioned earlier by Tuesday after all applications have been received,Project Applications,Role Inquiry,Class Slides,2,3,
and what would we need to come prepared with on that day as founders?,All founders will receive am email with full instructions as mentioned earlier by Tuesday after all applications have been received,Project Applications,Role Inquiry,Class Slides,2,3,
"I applied for operations and since it is full now, should I apply for something else? Or is it that no more new applications are being processed and not all names are on the list yet?","At this point, operations is saturated. Yes, please apply to something else.",Project Applications,Project Approvals,Live Approvals,1,2,
hey quick question how will i know if i was accpeted,[Live Approval Schedule],Project Applications,Project Approvals,Live Approvals,1,1,
"we spoke last week about my approval for Cisco but I don't see my name on the list?  I sent you a DM, but does this mean I was rejected?","This is not the right channel for individual/personal communication, especially for special situations. Lets continue where we started.  You just need to be patient.",Project applications,Project Approvals,,1,1,
"There has been claims that NJIT is canceling all classes at or after 6pm today. Given that our class is virtual today regardless, should we anticipate having class?",Usually such cancelation means switching to virtual,Class schedule,Schedule inquiry,Live Schedule,3,3,Very difficult for the bot to know about weather cancellations
How do I set up the virtual interview for Operations?,I will be sending and email with available hours in the next hour,Meeting Logistics,Interview,,1,2,
What happen if you're not selected for any projects.,"You can apply for another if you are not selected in your first choice. If non-industry options fail, you will be automatically switched to the industry option unless it was your first choice by default.

No student who attends, communicates, applies, and responds will be left without a project by the end of industry open houses. It is our job to find you a project and place you in a team, but it may not be your first choice due to competitiveness, space, and expectations.",Project applications,Project Approvals,Live Approvals,1,1,
if our name is in the software automation tab does that mean we are approved?,Yes,Project applications,Project Approvals,Live Approvals,1,1,
"Since operations is full, and I have not been selected yet, Its ok for me to reapply today for something else right?",Yes today is fine,Approval Process,Project Approvals,Live Approvals,1,1,
"If we applied to one of the capstone projects already, when will we know if we got accepted or rejected?","For non industry projects by the end of the weekend, except for RWC.
Startup members at the startup open house. 
Industry members at the industry open house.",Approval Process,Project Approvals,Live Approvals,2,1,
How many capstone projects can we apply to??,Only one.,Project applications,Project Approvals,Live Approvals,1,1,
There are only 4 students that were approved for media and communication so far. Will there be interviews for other candidates or are those the only candidates you want for that specialization?,"""Among all those who applied only four were approved. Please apply to other options.

As announced, I may add a sub team to media based on the level of  expertise in film making and video editing.""",Project applications,Project Approvals,Live Approvals,1,1,
What can I do if I only have interest in media and communication but was not part of the candidates selected?,"Among all those who applied only four were approved. Please apply to other options.

As announced, I may add a sub team to media based on the level of  expertise in film making and video editing.",Project applications,Project Approvals,Live Approvals,1,1,
"There is a ""Pre-Open House Application"" form that is open right now, and it allows you to apply for an industry-sponsored or startup project.  Does this act as a sort-of early bird form for those interested in partaking in an industry-sponsored or startup project, and is this meant to be filled out now if desired?  From my understanding from the early bird open house, I thought early approvals are only granted for startup ideas, CISCO academy/project applications, Capstone enterprise, and RWC.",The application process is open and the eadline is Friday. The Early bird (only applicable to last Saturday attendees) ended yesterday.,Project applications,Project Approvals,Live Approvals,3,2,
"If I was approved for software automation, does that mean I was also approved for the particular option under automation that I chose (i.e I chose the faq bot so does being approved for software automation mean I was also approved for the faq bot)? thank you","The internal project distribution will occur at an upcoming meeting between operations, software automation members/PMs, and me next weekend. 

The FAQ's project is a top priority, so most likely, it will be the case. I am just waiting for tonight's deadline to have a complete picture of all applicants and approvals for non-industry projects.",Enterprise Logistics,Project Approvals,Live Approvals,1,2,
"Just to be sure, for the students who applied for industry projects, when will we know if we’ve been accepted? Or if we have been given a different thing","All industry project applicants are approved by default. 

Please  see https://discord.com/channels/1192185220200411196/1192185223581024352/1198329657599217785  for more details.",Project applications,Project Approvals,Live Approvals,1,1,
"What does ""announced subject to approval"" mean?",That means that you can be approved or deny from the interview,Project applications,Project Approvals,Interview,1,1,
"If we applied for a startup idea, it says we will receive early bird approvals by Tuesday, Jan 16. Will we still recieve that by today or later (because of cancelled class)?",Yes. Tuesday ends at 12 midnight.,Approval Process,Project Approvals,Live Schedule,2,3,Highly volatile
Where can you check to see if you are a RWC candidate?,[Live Approval Schedule],Project applications,Project Approvals,Live Approvals,1,1,
"If we applied to RWC back in December for the spring session, when can we expect to hear back about that?",Next week as scheduled,Approval Process,Project Approvals,Live Approvals,1,2,
What are the chances to get into the Cisco capstone?,"This is a hypothetical question that I do not think you should be concerned about now unless you are not in the network and information security concentration, then you cannot join.",Approval Process,Project Approvals,Live Approvals,2,2,Pretty unpredictable question
I co founded a start up with a classmate and it was already approved. I am kind of confused as to what other (if any) forms I have to submit by tonight.,Send me a direct message confirming the full  names of the two founders,Approval Process,Project Approvals,Startup,1,3,
"Let’s say that we are doing an “Outside CC” specialization but about 6 of 8 courses are from the net and infosec specialization, will we still be rejected?  If I ask my advisor to temporarily change my specialization to get in can I do that?  If I am rejected what is my next course of action?  Thank you.","Suppose the advisor can change the concentration title, that is accepted. Anyone who gets denied in their first application can apply for another option.",Approval Process,Project Approvals,"Live Approvals, Outside CC Specialization",3,2,
"Hello proffesor, I have applied for automations but I want to do the industry projects. Should I wait for a response to my first application to submit again?","If your name is not in the approval list for Automation, you are switched automatically to industry.",Approval Process,Project Approvals,"Live Approvals, Automation",1,1,
"Hey professor, you mentioned in the announcements that for RWC applications after 12PM will not be accepted, did you mean 12 am by any chance? Because I applied later today after 12pm thinking the deadline was 11:59pm tonight, will my application still be considered?",You are correct. It is midnight tonight. I apologize for mistyping the hour.,Project applications,Application Logistics,,1,3,
Do we need to submit anything for the capstone applications on canvas? it listed as an assignment so i just want to make sure,"no, it is just there to be on your calendar when it is due.",Project applications,Application Logistics,Canvas,1,1,
"If a startup proposal is approved conditionally and the comment says to clarify something, where would we add this additional information?","You should re-submit

I have also added a save and return functionality to allow future users to edit after submission.",Startup Proposal,Project Approvals,Startup,1,1,
Is there a way to share some of our work in regards to videography when applying to the media and communications path in order to prove our case?https://discord.com/channels/1192185220200411196/1192185223581024351/1198670341451550761,Please send me a direct message with all your samples. It is an important option this semester,Approval Process,Project Approvals,Media,1,2,
"From my understanding there is different tracks we can take: is there limited space for each of them?
As for the team building are we assigned team members or can we choose?","It all depends on which track and your qualifications.

Teams are formed by individual approval not in advance",Course tracks,Track inquiry,Course tracks,2,2,
I applied for an industry sponsored project. What happened if we don't get in any industry project?,This is approved by default like I said frequently above.,Project applications,Project Approvals,Live Approvals,1,1,
What if none of the interview goes well and we don't  get approved by the different sponsors ?,"When this problem happens, it is our responsibility to match you with an industry project or to find an alternative project for you.",Approval Process,Project Approvals,Interview,1,1,
"The pdf for media and communications track is empty and locked
Where can we view the information?","It is the same information as the guided tour, but  I unblocked it now. 
Focus more on the Excel sheet that describes the scope.",Track information,Resource Inquiry,"Media and communications, Canvas resources",2,1,
I think i might have missed it when he went over it does anyone know if getting the certificate is a requirement for the cisco route?,"No certificate is required for CISCO, just the IT concentration in network and information security.",Approval Process,Project Approvals,"Cisco route, certificate",1,1,
"So, the Industry-sponsored projects application asks this question referring to an ""Above list"". But there is no list above it. Where is the list or what do we put here",I have simplified that question to only ask about your dream project,Project applications,Application inquiry,"Industry-sponsored, applications",2,1,
Will those that are interested in the media and communications track do an interview?,Yes,Approval Process,Project Approvals,"Interview, Media and Communications ",,,
"For the extra credit opportunities, the professor mentioned one about building a computer. Around when would we hear about everything involved in that, as well as other chances for points.
Is it all just as the semester goes on?",We will let you know about everything early enough before it happens.,Extra credit,Extra credit inquiry,"PC Build competition, Extra Credit",,,
Will there be a recording of the Thursday class for those students who had the Tuesday class cancelled and couldn't make it to today's session?,Yes. As soon as I receive it tonight or tomorrow morning,Course Logistics,Class inquiry,Class schedule,2,3,
So... After I see this can I assume that my application process is done and that I havent missed anything? I applied to Software engineering track: Industry-sponsored projects as a team member,Yes,Project applications,Project Approvals,"Industry-sponsored, applications",1,1,
Are there any ways to edit a submitted application for CISCO?,"Unfortunately not, You can resubmit and we will delete the old version as long as you do it by Sunday.",Project applications,Application logistics,"Applications, Cisco",1,1,
Does a business analyst role fall under the Operations Team?,The operations team can certainly use business analysis skills but operation team members must have many more skills that are suitable for their tasks.,Operations logistics,Operations inquiry,"Operations, business analyst",1,1,
"When is the industry-sponsored project application due?
Is it due tonight at midnight?",Application Deadline is January 21st. For all deadlines please refer to the schedule. https://discord.com/channels/1192185220200411196/1192185223581024351/1196806791447711784,Project applications,Project Approvals,Live Approvals,1,2,
How can we make sure that our application has been submitted successfully? I remember completing my industry sponsored application the other day but not sure if I got the confirmation screen.,you'll get a copy of the survey and your answers via the email you submitted,Project applications,Project Approvals,"Applications, Industry-sponsored",1,1,
"just to confirm I understand everything correctly and not missing out on anything, I applied to the industry sponsored projects.

1: I do not need to attend tomorrow's ""Enterprise + Early Bird Approvals"" since its only for enterprise and early birds correct?

2: do I need to attend Tuesday, January 23 or Thursday, January 25 class? correct me if I am wrong, I assume not because it will be just for RWC Coaches.

3: If I am selected to attend in the limited industry open house (I assume we get an email from you or something to tell us if we are selected or not) , that I attend and if not then I attend the Tuesday February 6th one: ""Main Industry Open House..."" and /or ""Backup Industry Open House"" on Saturday February 10th.

so basically since i am applying to industry sponsored projects, i dont have to attend any of the listed events except ""CAPSTONE TRAINING"" and ""Limited Industry Open House"" (If I am selected), ""Main Industry Open House..."" or ""Backup Industry Open House"" correct?",Correct,"Class attendance, Open house",Project Approvals,"Applications, Industry-sponsored",2,3,
"Hey, I wish to apply to the RWC program. As far as I can tell, there's no real application link besides the one in the pic related, which is some early bird link that's already passed (although I can still apply with it?). I can see in the big schedule that the open house for coaches is on the 25th (I assume for *me* it's the 25th, since I'm taking the thursday 491 class).

Do I need to apply with the link I found right *now*, do I need to apply with a link I haven't found yet, or is the link not even available until after the coach open house?",The early bird gets the priority but the application is still open until Sunday for everyone else.,Project applications,Resource Inquiry,"Applications, RWC, early bird",2,3,
"Hi, I am aware that we have to wait a little while, until we officially get accepted for a role. 

As of right now, at this current moment, which meeting dates are mandatory for all capstone students to attend ?

I just want to clear any confusion that I may have with the meeting dates ?","I have updated the LIVE SCHEDULE to answer this question for everyone adding a new column ""WHO SHOULD ATTEND""
# https://docs.google.com/spreadsheets/d/15ZYmXEhfhjgD2QC-ai28GNkzoKpFjBhKRaY2bAG_h6s/edit?usp=sharing",Project applications,Project Approvals,"Live schedule, ",1,2,
"For Cisco, when does the qualification exam take place?","The qualifying exam is only used when we have more applications than capacity among network and information security students.
If you look under announcements https://discord.com/channels/1192185220200411196/1192185223581024351/1198257172182749224, you have already been approved.  You need to make a commitment here (along with your registration date Tuesday or Thursday): https://discord.com/channels/1192185220200411196/1198274422457507911",Project applications,Project Approvals,"Cisco, qualifying exams,",2,3,
Do startup founders need to write a commitment in a text channel? I only see one for startup members,No they do not,Track Commitment,Project Commitment,,1,1,
What URL should we submit for the Capstone Checklist assignment on Canvas due today?,It is already in the assignment description,Checklist Assignment,Submission Inquiry,,2,1,
"For the question ""If you were approved for a non-industry project, have you committed to it through the appropriate channel?"", what do we put if it's not applicable?",Just put NO for statistical purposes.,Checklist Assignment,Submission Inquiry,Survey,1,1,
"I see the link, but do we need to submit anything to Canvas or just fill out the survey?",Just fill the survey,Checklist Assignment,Submission Inquiry,Survey,1,1,
"I already filled out the survey but I accidentally checked off ""yes"" for the last question even though I am a part of the industry track. Do I need to fill out the survey again?",No worries. It is fine,Checklist Assignment,Submission Inquiry,Survey,2,1,not sure how applicable this question is to everyone
"I have applied for a couple of capstone projects, non - industry, and I don't think that I was accepted in any of them. Is there anything that I can do?","There are no specific industry projects that you could have applied for because you can only do this at the industry open house, which has yet to happen.  

You are automatically switched to industry if you are not approved for a non-industry project.",Project applications,Project Approvals,"Applications, Industry-sponsored, Non-Industry",2,2,
"For the question on the survey about attending orientation or the alternative assignment, was the kahoot the alternative assignment?",Yes.,Checklist Assignment,Attendance Alternative,"Survey, Kahoot",1,1,
When is the industry open house? ,[Live Approval Schedule],Open House,Industry Open House,Live Schedule,1,2,
Is there going to be a limit to how many students can attend the limited industry open house on February 3rd?,They must be Thursday students,Open House,Open House Inquiry,,1,2,
Where can we find more information about the pc build competition? I was looking on canvas but didn't see anything at first,Extra credit activities will be announced at the beginning of February,Extra credit,Extra credit inquiry,"Canvas, Discord",1,2,
What is a recognition board on this Discord server?,A recognition board based on accomplishments,,Discord inquiry,Discord,1,1,
Are the students in the Tuesday section able to come as well or is it just for the Thursday section,Absolutely not,Open House,Open House Inquiry,,1,2,
"Was there a canvas announcement mentioning that? Maybe I just didn’t see it, but if I didn’t ask, students in the Tuesday section would’ve attended the limited open house",It was in the live schedule,Open House,Open House Inquiry,Live Schedule,1,3,difficulty will remain low so long as canvas announcements can be fed to the bot
for the survey for tonight i mistakenly submitted before inputting my full name at the bottom and it won't let me submit a new response. Is there anything I can do to fix it?,I have changed the settings to allow re-submissions and edits.,Checklist Assignment,Submission Inquiry,Survey,2,3,
Hey I took the survey but do we have to submit something for canvas as well?,"no, just fill out and submit the survey.",Checklist Assignment,Submission Inquiry,"Survey, Canvas",1,1,
Also we’re not meeting for class on Thursday right?,Not this week. Please trust what we have announced frequently and the live schedule.,Class Schedule,Attendance Inquiry,"Discord, Live Schedule",2,2,
Should startup founders commit in the startup-member chat?,No,Track Commitment,Track Commitment Inquiry,,1,1,
"Is there a specific date for the interview process for industry PM applicants? I see that it says before Feb 1st, but I am confused about the other details about this process","The operations team has scheduled a series of interviews from this weekend until next Thursday. These interviews will be conducted gradually, ensuring that each candidate is given adequate time and attention.

 Please don't worry if you don't hear back right away, as the team will be conducting numerous interviews. Rest assured that every candidate will be given a fair chance to demonstrate their skills and qualifications.",Track Interview,Interview Process,Live Schedule,2,2,
"I imagine the candidates posted for RWC shouldn't be committing quite yet, since we still need to do interviews and aren't fully approved yet. Am I correct with that?","Correct. Based on these applications, the likelihood of approval is relatively high.",Track Commitment,Track Commitment Inquiry,,2,2,
what would happen in the case of time conflict with classes?,They will schedule an interview with you based on your convenience and availability. So that problem does not exist.,Track Interview,Interview Process,,1,1,
One more quick question; are these face to face interviews or over discord?,It depends on the agreement between you and the operations team,Track Interview,Interview Process,,1,1,
"The live schedules states that the limited industry open house on Saturday Feb 3rd is for thursday applicants only. Does this mean if I'm in the thursday section(104), I should only attend the open house on Feb 3rd and not attend the one on Tuesday Feb 6th?",Correct,Limited Open House,Open House Inquiry,Live Schedule,1,2,
"So, do I need to commit to anything for Industry project Member by tomorrow or should I just idle until open house in February? I see none of these ""I commit"" messages in #industry-member <#1198274904085233714> so... I'm assuming I don't have to do anything for tomorrow's deadline...?",Correct. You don’t have to do anything for tomorrow’s deadline.,Track Commitment,Track Commitment Inquiry,,1,1,
"To commit to Cisco I need to State That I am ""I hereby commit to Cisco, I am in Thursday's section."" on the Cisco Under The commitment After Approval? A little confused on how to commit",See how others did it. It is really straightforward,Track Commitment,Track Commitment Inquiry,Discord,1,1,
Hello Professor was this email sent via canvas? I can’t seem to find it,Any Canvas email can also be found under Canvas announcements or assignments,Startup Information,Startup Founder Inquiry,Email,2,1,again with feeding announcements
Are Cisco approvals completed or are applications still being reviewed? Just wanted to get an idea of what my status was (I am a Network and Information Security student),I believe the final list will be ready by Friday after final revision and adjustments.,Project Applications,Project Approvals,,2,2,
"hi, I applied to be a startup member but I did not get a seperate email saying that I was approved should I still say that I commit to being a startup member in the chat?",Startup members are like industry members. They are generally approved for their selection but will not be finally approved unless they are approved by a certain founder to their teams at the Open House,Project Applications,Project Approvals,,1,1,
"thank you for responding so quickly, so I should hold off on typing into the commitment chat then?",Your commitment there does not really mean too much until you are selected to a certain team,Track Commitment,Track Commitment Inquiry,,1,1,context is being a startup member but not sure if i should actually put that in context
I applied for Cisco a long time ago but I do not see my name anywhere. Please assist.,You indicated that you are not part of the Network and Information Security concentration and provided only one related course. You are not eligible and you must attend the industry open house.,Project Applications,Project Approvals,Cisco,3,1,
Proffesor why didn’t I get into Cisco I have my network and security specialization,"The people who applied earlier got priority. You applied on the last date (Jan 21st), so you have to wait until tomorrow so  I can add more seats if I can.",Project Applications,Project Approvals,Cisco,3,1,
"Ok, where is class though? In Weston hall?","yes, in our scheduled class location: westin lecture hall 1",Class Meeting,Class location Inquiry,Weston Hall,2,3,Class meeting location is subject to change
"I'm sorry if this was already asked : from what I understand
The limited industry opening on feb 3rd is only for Thursday sections. And the main one will be  the following week. I am assuming all the different sponsors will be present at both of those sessions is that correct ?
I just want to make sure we're not missing any opportunity if we're from the Tuesday session as we're only invited to the main open house","It is possible but not guaranteed.
Perfection may not be attainable, but that should never stop us from pursuing it relentlessly. Let's keep striving until we achieve our goals.",Open House,Open House Inquiry,"Industry-sponsored, Open House",3,3,Question has to do with cancellation of class (which bot would likely not know how to answer
"I saw you reply to Sarah Ibewuike below our conversation that she needed a documented conflict of schedule. I don’t know if that also applies to me but I figured I would cover my bases. 

Here is the schedule that includes Saturday February 3rd with a conflict of schedule. I have to wait for the next schedule that contains Saturday February 10th to be finalized and printed but if you need it I will send it ASAP.",Noted! You can attend the open house on Tuesday 2/6.,Open House,Switching Classes to attend,Open House,2,3,
What’s the difference between the Limited Industry Open House and Backup Industry Open House ?,Limited in space and backup if necessary,Open House,Open House Inquiry,"Open House, Industry",1,1,
"Just to confirm, for the capstone trainings on tuesday and thursday. Does everyone need to attend both? Or tuesday section attends tuesday and Thursday section attends thursday?",[Capstone General Schedule],Capstone Training,Class Section Inquiry,"Capstone training, General Schedule",1,2,
"My apologies if this was asked already:
For the NDAs is it okay we print them out and them scan them back into PDFs after signing?","Yes, exactly",NDA Signing,NDA Inquiry,NDA,1,1,
"If you take the industry route, are you pretty much guaranteed a spot with a company team? I'm curious, does that mean the companies will be different between the open houses on February 3 and February 6? Or is there a chance that there might be fewer spots available for the Tuesday class's open house on February 6?","It can be challenging to ensure that every student is assigned an industry project due to the large class size and intense competition. However, we guarantee that if a student communicates well and follows the instructions, they will receive a project assignment, whether industry or not. 

I have launched a third campaign today to maximize the number of capstone industry participants. Some sponsors will attend both days of the event, while others will choose one day over the other. We will provide all the necessary information about this by Friday. 

We understand that we live in an imperfect world, but we are committed to ensuring that no student is left behind.",Industry Route,Open House Inquiry,"Open House, Industry",2,2,
Is there any arrangement for us to park ?  Or we have to pay for the parking,"We usually arrange parking for external guests such as industry sponsors.
Saturday parking is usually free at the parking decks. Isn't it?",Open House,Parking Inquiry,"Open House, Parking",1,2,
Where is westin lecture 1?,[Map of NJIT Campus],Open House,Class location Inquiry,"Open House, Weston Hall",1,1,
Do grad students have to attend the capstone training sessions/ or have any action items yet ?,"Graduate students are recommended, but not required, to attend undergraduate training. It is important for them to review everything on Canvas carefully and attend their own graduate capstone classes with Professor Prabhat.",Capstone Training,Capstone training Inquiry,"Capstone training, Graduate Students",1,1,
Out of topic question. Does Weston Hall Lecture 1 have power outlets in the seats? I just don’t remember,"I am not sure, but Hall 2 has a good amount.",Classroom,Classroom Inquiry,Weston Hall,2,1,
are there other industry projects other than the ones in spring 2024 sponsors project proposals pdf from canvas? I guess my question is: what happens if I am not really interested in any of those projects? Would i have to choose the closest best interest project out of them anyways? or would there be other options to pursue? I am not trying to be picky/inconvenient but I would rather not force myself in a project that i don't have much interest in and prefer to do something I have passion for and go above and beyond with it.,"There will be more by Friday morning but only a few.
I cannot provide hypothetical answers. You have to decide based on the available options.",Project Applications,Industry Inquiry,"Industry, Sponsors Project Proposal",1,2,
I appreciate the update on the open house. I am assuming we will get more details on how it is conducted online later on this week ?,"Yes. of course. You will get the Saturday, Feb 3rd Webex link (for Tuesday industry students) and all other details by tomorrow morning.",Open House,Industry Inquiry,"Webex, Open House",1,1,
Do Tuesday students have to attend both the online and in-person events?,"Tuesday students will be attending the open house this Saturday 2/3 **VIRTUALLY**

The main open house one Tuesday be in person for students who **ARE NOT** commited to a project yet, where they will be placed on a team
So if you get a team online during Saturday's event, you will not be allowed to attend the Main Open House",Open House,Open House Inquiry,"Open House, Class Section",2,2,
"So, the NDA asks for an interval between two dates
what should those dates be

o wait..............
should i just put my name after ""Between""?
the NDA is between me...
",You name goes after between.,NDA Signing,NDA Inquiry,NDA,1,2,
Does this mean approvals for industry PMs will be made prior to the open house this Saturday ?,yes! working on that email as we speak ,Project Applications,Approval Inquiry,Industry,2,2,
"For the tuesday section, this saturday's open house is online. If we haven't decided on which projects to apply during the first open house will we have an opportunity to apply to those projects at the next open house even though they aren't present?","we highly encourage everyone to apply to projects during Saturday's open house, assuming that you did not get approved you will be invited to the Main Open House on Tuesday... no guarantees on how many industry projects will still be open by then as the candidate pool is very large and competitive",Open House,Approval Process,"Open house, Industry",1,2,
"I am an industry sponsored student in the Thursday section. The open house on February 3rd creates a scheduling conflict with my job. The event ends at 5pm, but I start my shift at 5pm. Would it be possible for me to attend the open house virtually or the FTF open house on February 6th?",I would suggest doing Saturday partially face to face in your case,Open House,Schedule inquiry,Open House,1,2,
"Based on the announcement from 2 days ago, is it still possible to apply to a startup team before the deadline if I **didn't** attend the open house? I'm just a little confused is all and want to see what my options still are.","Hi! Yes, there are still many spots open on our start-up teams. Feel free to reach out to a founder if you are interested. They will decide whether or not you are approved/can commit as a startup member",Startup Information,Open House Inquiry,"Open house, Startup",1,1,
I work Saturday and wont be able to make it to the open house this Saturday so i’ll have to automatically come to just the Tuesday one if thats ok ,could you send a proof of conflict please?,Open House,Schedule inquiry,"Open house, Proof of conflict",1,2,
"I received an email from my financial aid advisor.

I wanted to confirm that my verification of presence has been submitted so that I can receive aid.",I have verified it for all my students since last week.,Financial Aid,Financial Aid Inquiry,Verification of presence,3,2,
What's the location for the FTF for Thurs class  today at 6pm,"West lect 1
",Class Meeting,Class Location Inquiry,"Class Location, Live Schedule",1,2,
Am I suppose to upload the NDA even tho I haven't sign on to a project as yet..I'm attending the open house Saturday... I see deadline to sign is today,"You have to do it before meeting with the industry sponsors

Just one copy. They are alternatives",NDA Signing,NDA Inquiry,"NDA, Open House",1,1,
Is the private channel for each team on discord with the TA is already created?,"CISCO private channels with the TAs were created yesterday. 
The startup private channels will be created by the end of the day.",Project Logistics,Discord inquiry,"Discord, Cisco",2,3,
I can’t locate Weston hall,[Map of NJIT Campus],Class Meeting,Class Location Inquiry,"Weston Hall, NJIT Map",1,1,
It’s hard to find Weston Hall my gps took me to the Archie building,"correct
Just enter that building and it’s two floors down",Class Meeting,Class Location Inquiry,Weston Hall,1,2,
Operations is rde systems at the open house ? I am virtual and I don't think they presented.,They will be here on Tuesday,Open House,Open House Inquiry,,1,2,
"I applied to college-success-coaches-website-and-content-creation, but they have not presented today. are they going to be on tuesday?",They will be here on Tuesday,Open House,Open House Inquiry,,1,2,
What do we do if the 2 company’s we picked haven’t scheduled interviews for us or have already filled the role we were applying for? Could we pick a different company?,"If the company has already chosen other students, then you may delete that application and apply to another company",Track Interview,Project Approvals,,1,1,
"if we are approved for one of the sponsors and we are virtual, and we commit in the #industry-team-commitment <#1192185224415690874> channel, last step: how do we take the picture since we are virtual?",New update: please send a photo of yourselves in front of a white wall and send it to #pictures channel,Virtual Approval,Virtual Approval Inquiry,"Photos, Discord",1,1,
"so I am good to leave the openhouse correct? I got approved, and commited",You can leave the webex!,Open House,Open House Inquiry,Webex,1,1,
Is case medical going to be at the open house on tuesday?,We unfortunately do not have any confirmation yet if Case Medical will be present on Tuesday.,Open House,Open House Inquiry,,2,3,
Any update on verizon as well?,"Unfortunately, it is the same situation with Verizon. No confirmation on their presence on Tuesday yet.",Open House,Open House Inquiry,,2,3,
"If the Tuesday Verizon group shows up, could I resubmit my application there? I was told to delete so I could interview with other sponsors","If you do not get approved to any project today, then you may send additional applications for the Tuesday open house. If you want to delete an application today and submit one for another project you may also do so",Project Applications,Application Inquiry,,1,2,
Yeah like if we do two applications today does that mean we aren't allowed to continue applying on Tuesday?,"If you do not get approved to any project today, then you may send additional applications for the Tuesday open house. If you want to delete an application today and submit one for another project you may also do so",Project Applications,Application Inquiry,,1,1,
"Operations may we have an updated list of all sponsors that will show up on tuesday. From my understanding some of them will not show up because they're full. This would help us a lot in re submitting application for certain project, as some of us we not able to be approved",yes we can get that to you after the open house,Industry Route,Industry Open Sponsor Inquiry,Sponsor List,2,3,
Whats the difference with the two industry approval channels on discord? Theres one in the open house section called 'industry-team-commit' and another in the commitment after approval section called 'industry-member',"Please use the #industry-team-commit <#1192185224415690874> channel, but if you have already sent it to the other channel you do not need to change it",Capstone Discord,Project Commitment,Discord,1,1,
Would you allow a co-PM in a team. I know I already asked in person but I just wanted written confirmation for my sponsor,"Yes. The PM, however, will be the primary person responsible (especially with progress reports), but the CO-PM must attend all PM meetings and share responsibilities.",,,,,,
Are Thursday students who already committed to a project allowed to attend the second open house if the sponsors assign us to conduct technical interviews during that event,,,,,,,
"Also, I saw that my commitment message was deleted that I sent after seeing my name in the approvals table.I just resent the commitment message. Is this acceptable? I suspect it's because I was approved extremely early (within 3 minutes of interviews beginning, at 3:02 PM), and sent the commitment immediately after",It has been updated. You can check it on the Live Approvals sheet.,Track Commitment,Project Commitment,Discord,1,1,
So does this mean I have successfully committed? It looks the same and says that I am approved,Yes. It does say that you have committed to Jabil.,Track Commitment,Project Commitment,Discord,3,3,too specific in my opinion
Do Thursday students show up to the Tuesday event virtually or the 10th FTF?,"Students without projects (Tues/Thurs sections) are invited to the Main Open House, in-person, at CC Atrium from 5-9PM",Project Applications,Open House Inquiry,,1,2,
"For CISCO students what would be recommended to do, Trello, Jira, or GitHub? And I’m assuming the Google folder should be from the NJIT account?","Up to you. Trello just provides to do; with jira you can do kanban, see timelines, create backlog and sprints; grant charts do the same as jira pretty much.",Project Logistics,Project Inquiry,"Trello, Jira, Github",1,1,
"If we have a project, do we have to show up to Tuesday’s class?","No class Tuesday, the main open house will be taking place in the atrium for students currently without a project",Class attendance,Attendance Inquiry,,2,2,need live data
Do we only choose one of the 3 then?,"These are just most common and suggested. You can find your own as a PM, better if it is smth used in the industry. But before you make your choice, make sure to review Scope and time management example, and midterm. You will see what you will have to have for the submission.",Project Logistics,Project Inquiry,"Trello, Jira, Github",1,1,
is there a list of sponsors that are going to attend the Tuesday Open House?,"TBA soon, still finalizing the lists. Hopefully we can share tomorrow but it'll be up Tuesday morning at the latest",Open House,Open House Inquiry,Brochure,2,3,
Do Tuesday student who got approved for a project gotta attend the open house tomorrow for attendance?,"Nope, if you are committed to a project then you do not need to attend",Open House,Open House Inquiry,,1,1,
Is there an open house brochure for tomorrow's open house?,"yes! Media & Communications is working on it atm, will share it in <#1192185221353840818> and post it to canvas as soon as it's ready",Open House,Open House Inquiry,"Canvas, Brochure",1,2,
should we post our resumes in here for the open house tomorrow or just show them in person?,both,Open House,Open House Inquiry,Discord,1,1,
What about the other sponsors that aren't on the open house brochure? Will they attend virtually or be assigned at a later date,"most of them came saturday and completed their teams. everyone who is listed on the seating chart will be there in person, connective care will be our only virtual sponsor",Open House,Open House Inquiry,Brochure,2,3,
